date,candidate,portfolio_return,selected_count,cash_proxy,turnover
2025-03-13,candidate_C_expected_signal_volatility,0.00920632258350186,2,0.6,0.6666666666666666
2025-03-20,candidate_C_expected_signal_volatility,0.0017025491692995,2,2.220446049250313e-16,0.6666666666666666
2025-03-27,candidate_C_expected_signal_volatility,-0.015913723235957224,2,0.6000000000000003,1.0
2025-04-03,candidate_C_expected_signal_volatility,-0.023809470188300583,2,0.6,1.0
2025-04-10,candidate_C_expected_signal_volatility,0.0002157102250061399,2,0.6000000000000001,0.6666666666666666
2025-04-17,candidate_C_expected_signal_volatility,-0.004328137289115217,2,0.6000000000000003,0.6666666666666666
2025-04-25,candidate_C_expected_signal_volatility,0.0018893119912453391,2,0.6000000000000001,0.0
2025-05-02,candidate_C_expected_signal_volatility,-0.008675115751273948,2,4.440892098500626e-16,0.6666666666666666
2025-05-09,candidate_C_expected_signal_volatility,0.016238671786266496,2,2.220446049250313e-16,0.6666666666666666
2025-05-16,candidate_C_expected_signal_volatility,0.005109240858848426,2,4.440892098500626e-16,0.6666666666666666
2025-05-23,candidate_C_expected_signal_volatility,0.026837565265341593,2,2.220446049250313e-16,0.6666666666666666
2025-06-02,candidate_C_expected_signal_volatility,0.02925546662126039,2,2.220446049250313e-16,0.6666666666666666
2025-06-09,candidate_C_expected_signal_volatility,-0.015285502401122445,2,4.440892098500626e-16,0.6666666666666666
2025-06-16,candidate_C_expected_signal_volatility,-0.002026208308986139,2,0.6000000000000002,0.6666666666666666
2025-06-24,candidate_C_expected_signal_volatility,-0.0031194334299899183,2,0.6000000000000002,0.6666666666666666
2025-07-01,candidate_C_expected_signal_volatility,-0.0037600453225770493,2,2.220446049250313e-16,0.6666666666666666
2025-07-09,candidate_C_expected_signal_volatility,0.011300903961187147,2,3.3306690738754696e-16,1.0
2025-07-16,candidate_C_expected_signal_volatility,0.005786546284107148,2,3.3306690738754696e-16,0.6666666666666666
2025-07-23,candidate_C_expected_signal_volatility,0.015887901763129646,2,2.220446049250313e-16,0.6666666666666666
2025-07-30,candidate_C_expected_signal_volatility,-0.020692528844887394,2,2.220446049250313e-16,0.6666666666666666
2025-08-06,candidate_C_expected_signal_volatility,-0.004842775046544498,2,4.440892098500626e-16,0.6666666666666666
2025-08-13,candidate_C_expected_signal_volatility,-0.010586471531464149,2,2.220446049250313e-16,1.0
2025-08-20,candidate_C_expected_signal_volatility,-0.008260727064685548,2,4.440892098500626e-16,0.6666666666666666
2025-08-27,candidate_C_expected_signal_volatility,-0.0001347866296530502,2,2.220446049250313e-16,1.0
2025-09-04,candidate_C_expected_signal_volatility,0.004363325923153349,2,2.220446049250313e-16,1.0
2025-09-11,candidate_C_expected_signal_volatility,0.0002908717871917797,2,0.6000000000000004,0.0
2025-09-18,candidate_C_expected_signal_volatility,0.008721378701655296,2,3.3306690738754696e-16,0.6666666666666666
2025-09-25,candidate_C_expected_signal_volatility,0.03303401270831079,2,1.1102230246251565e-16,1.0
2025-10-02,candidate_C_expected_signal_volatility,-0.01985181817951069,2,2.220446049250313e-16,0.0
2025-10-09,candidate_C_expected_signal_volatility,-0.04240605636865559,2,2.220446049250313e-16,0.0
2025-10-16,candidate_C_expected_signal_volatility,-0.009149028030556249,2,3.3306690738754696e-16,0.6666666666666666
2025-10-23,candidate_C_expected_signal_volatility,0.015889142470980704,2,0.6000000000000004,0.6666666666666666
2025-10-30,candidate_C_expected_signal_volatility,0.0019962278816340997,2,2.220446049250313e-16,0.6666666666666666
2025-11-06,candidate_C_expected_signal_volatility,-0.013954829506123043,2,4.440892098500626e-16,0.6666666666666666
2025-11-13,candidate_C_expected_signal_volatility,0.00012927161303439888,2,1.1102230246251565e-16,0.6666666666666666
2025-11-20,candidate_C_expected_signal_volatility,-0.013930113042090533,2,0.6000000000000002,1.0
2025-11-28,candidate_C_expected_signal_volatility,-0.005643866835712595,2,0.6000000000000003,1.0
2025-12-05,candidate_C_expected_signal_volatility,-0.013252357382246194,2,2.220446049250313e-16,0.6666666666666666
2025-12-12,candidate_C_expected_signal_volatility,-0.0034331748297125493,2,2.220446049250313e-16,1.0
2025-12-19,candidate_C_expected_signal_volatility,0.010170635393198995,2,6.661338147750939e-16,0.6666666666666666
2025-12-29,candidate_C_expected_signal_volatility,-0.009076477013254198,2,2.220446049250313e-16,1.0
2026-01-06,candidate_C_expected_signal_volatility,0.00571688078156675,2,2.220446049250313e-16,1.0
2026-01-13,candidate_C_expected_signal_volatility,-8.333718964735008e-05,2,2.220446049250313e-16,0.6666666666666666
2026-01-21,candidate_C_expected_signal_volatility,-0.005327624436296894,2,0.6000000000000004,0.0
2026-01-28,candidate_C_expected_signal_volatility,0.005249033801026898,2,3.3306690738754696e-16,0.6666666666666666
2026-02-04,candidate_C_expected_signal_volatility,0.006439408261340899,2,2.220446049250313e-16,1.0
2026-02-11,candidate_C_expected_signal_volatility,-0.06737271473209017,2,4.440892098500626e-16,0.6666666666666666
2026-02-19,candidate_C_expected_signal_volatility,0.007503472557737498,2,2.220446049250313e-16,1.0
2026-02-26,candidate_C_expected_signal_volatility,0.0018934145601255488,2,4.440892098500626e-16,0.6666666666666666
2026-03-05,candidate_C_expected_signal_volatility,0.013456659038459152,2,0.0,1.0
2026-03-12,candidate_C_expected_signal_volatility,0.003139281204174999,2,0.6000000000000002,0.6666666666666666
2026-03-19,candidate_C_expected_signal_volatility,-0.005731748878000798,2,2.220446049250313e-16,0.6666666666666666
2026-03-26,candidate_C_expected_signal_volatility,0.012077490322552994,2,0.6000000000000002,0.6666666666666666
2026-04-02,candidate_C_expected_signal_volatility,-0.013047928457724593,2,4.440892098500626e-16,0.6666666666666666
2026-04-10,candidate_C_expected_signal_volatility,0.027053550927080245,2,2.220446049250313e-16,1.0
2026-04-17,candidate_C_expected_signal_volatility,-0.007821294915525146,2,4.440892098500626e-16,1.0
2026-04-24,candidate_C_expected_signal_volatility,-0.010828930757901095,2,4.440892098500626e-16,1.0
2026-05-01,candidate_C_expected_signal_volatility,-0.04562262190341524,2,2.220446049250313e-16,1.0
2026-05-08,candidate_C_expected_signal_volatility,0.022045995330625394,2,2.220446049250313e-16,0.0
2026-05-15,candidate_C_expected_signal_volatility,-0.007646912758953097,2,4.440892098500626e-16,0.6666666666666666
2022-01-03,candidate_D_expected_volatility_penalty,-0.01528779760413259,2,6.661338147750939e-16,1.0
2022-01-10,candidate_D_expected_volatility_penalty,0.010787830704828399,2,2.220446049250313e-16,0.6666666666666666
2022-01-18,candidate_D_expected_volatility_penalty,-0.000468291185273125,3,2.220446049250313e-16,1.0
2022-01-25,candidate_D_expected_volatility_penalty,-0.0031155992950240483,3,0.6000000000000002,0.8
2022-02-01,candidate_D_expected_volatility_penalty,-0.013809438388929098,2,2.220446049250313e-16,1.0
2022-02-08,candidate_D_expected_volatility_penalty,0.016431748311113645,2,2.220446049250313e-16,0.6666666666666666
2022-02-15,candidate_D_expected_volatility_penalty,0.0178843288173001,2,2.220446049250313e-16,0.6666666666666666
2022-02-23,candidate_D_expected_volatility_penalty,0.0030818797139579484,2,2.220446049250313e-16,0.6666666666666666
2022-03-02,candidate_D_expected_volatility_penalty,-0.03494241657433679,2,3.3306690738754696e-16,0.6666666666666666
2022-03-09,candidate_D_expected_volatility_penalty,0.028883471911209282,2,4.440892098500626e-16,0.0
2022-03-16,candidate_D_expected_volatility_penalty,0.04073493342374909,2,2.220446049250313e-16,0.6666666666666666
2022-03-23,candidate_D_expected_volatility_penalty,-0.011026021794957248,2,3.3306690738754696e-16,0.6666666666666666
2022-03-30,candidate_D_expected_volatility_penalty,-0.012408483973806696,3,4.440892098500626e-16,1.0
2022-04-06,candidate_D_expected_volatility_penalty,0.006381228583989347,2,2.220446049250313e-16,1.0
2022-04-13,candidate_D_expected_volatility_penalty,0.0032989102644428985,2,4.440892098500626e-16,0.6666666666666666
2022-04-21,candidate_D_expected_volatility_penalty,-0.03255462218917739,2,2.220446049250313e-16,1.0
2022-04-28,candidate_D_expected_volatility_penalty,-0.015171415056740993,2,0.6000000000000001,1.0
2022-05-05,candidate_D_expected_volatility_penalty,-0.026564520037987493,2,2.220446049250313e-16,0.0
2022-05-12,candidate_D_expected_volatility_penalty,0.04856016747805744,3,2.220446049250313e-16,0.75
2022-05-19,candidate_D_expected_volatility_penalty,-0.008823530952470349,2,2.220446049250313e-16,0.75
2022-05-26,candidate_D_expected_volatility_penalty,0.018095053099168094,2,2.220446049250313e-16,1.0
2022-06-03,candidate_D_expected_volatility_penalty,0.01032052141540375,2,0.0,1.0
2022-06-10,candidate_D_expected_volatility_penalty,-0.08711720632298123,2,2.220446049250313e-16,0.6666666666666666
2022-06-17,candidate_D_expected_volatility_penalty,0.01934990963124489,2,0.6000000000000002,0.6666666666666666
2022-06-27,candidate_D_expected_volatility_penalty,-0.02169526248448095,2,0.0,0.0
2022-07-05,candidate_D_expected_volatility_penalty,0.0037981003402582777,2,0.6000000000000002,0.6666666666666666
2022-07-12,candidate_D_expected_volatility_penalty,0.004257792931693099,2,1.1102230246251565e-16,0.6666666666666666
2022-07-19,candidate_D_expected_volatility_penalty,0.018540532728732198,2,2.220446049250313e-16,0.6666666666666666
2022-07-26,candidate_D_expected_volatility_penalty,0.02164039992499494,2,3.3306690738754696e-16,0.0
2022-08-02,candidate_D_expected_volatility_penalty,0.037609599440314334,2,3.3306690738754696e-16,1.0
2022-08-09,candidate_D_expected_volatility_penalty,0.013097281628008797,2,2.220446049250313e-16,1.0
2022-08-16,candidate_D_expected_volatility_penalty,0.004262755850916274,3,2.220446049250313e-16,0.75
2022-08-23,candidate_D_expected_volatility_penalty,0.02453927231346114,2,2.220446049250313e-16,0.75
2022-08-30,candidate_D_expected_volatility_penalty,-0.00411580151868918,2,0.6,0.0
2022-09-07,candidate_D_expected_volatility_penalty,0.010386054966624836,2,0.6000000000000002,0.6666666666666666
2022-09-14,candidate_D_expected_volatility_penalty,-0.02058015798797023,2,0.6000000000000002,0.6666666666666666
2022-09-21,candidate_D_expected_volatility_penalty,-0.0020988933135019177,2,0.6000000000000004,0.6666666666666666
2022-09-28,candidate_D_expected_volatility_penalty,-0.016490110119419744,2,2.220446049250313e-16,0.0
2022-10-05,candidate_D_expected_volatility_penalty,0.00363679350263498,2,0.6000000000000001,0.0
2022-10-12,candidate_D_expected_volatility_penalty,0.046347398482974686,2,2.220446049250313e-16,0.0
2022-10-19,candidate_D_expected_volatility_penalty,-0.013226455123106396,2,2.220446049250313e-16,1.0
2022-10-26,candidate_D_expected_volatility_penalty,-0.024047154851706293,2,2.220446049250313e-16,0.6666666666666666
2022-11-02,candidate_D_expected_volatility_penalty,0.00017098306347944,2,0.6000000000000002,0.6666666666666666
2022-11-09,candidate_D_expected_volatility_penalty,0.07878352078941868,2,2.220446049250313e-16,1.0
2022-11-16,candidate_D_expected_volatility_penalty,-0.016444448845177095,2,2.220446049250313e-16,0.6666666666666666
2022-11-23,candidate_D_expected_volatility_penalty,-0.009367515446913546,2,2.220446049250313e-16,0.6666666666666666
2022-12-01,candidate_D_expected_volatility_penalty,-0.011734752296787847,2,2.220446049250313e-16,1.0
2022-12-08,candidate_D_expected_volatility_penalty,-0.018231616837597296,2,1.1102230246251565e-16,1.0
2022-12-15,candidate_D_expected_volatility_penalty,0.0004912062910344397,2,0.6000000000000002,1.0
2022-12-22,candidate_D_expected_volatility_penalty,0.012383081898507646,2,2.220446049250313e-16,0.6666666666666666
2022-12-30,candidate_D_expected_volatility_penalty,-0.04624021879381678,2,2.220446049250313e-16,0.6666666666666666
2023-01-09,candidate_D_expected_volatility_penalty,0.0004916679207129399,2,0.6000000000000001,1.0
2023-01-17,candidate_D_expected_volatility_penalty,-0.07969569360763763,2,2.220446049250313e-16,0.6666666666666666
2023-01-24,candidate_D_expected_volatility_penalty,0.010380827947808847,2,2.220446049250313e-16,0.6666666666666666
2023-01-31,candidate_D_expected_volatility_penalty,0.0032347990347662003,2,1.1102230246251565e-16,0.0
2023-02-07,candidate_D_expected_volatility_penalty,-0.015318870630595748,3,2.220446049250313e-16,1.0
2023-02-14,candidate_D_expected_volatility_penalty,0.007417852678740847,2,2.220446049250313e-16,0.3333333333333333
2023-02-22,candidate_D_expected_volatility_penalty,0.0057002316659308,2,0.0,0.6666666666666666
2023-03-01,candidate_D_expected_volatility_penalty,0.016769785080934248,2,1.1102230246251565e-16,0.6666666666666666
2023-03-08,candidate_D_expected_volatility_penalty,-0.011473191357339948,2,2.220446049250313e-16,0.6666666666666666
2023-03-15,candidate_D_expected_volatility_penalty,0.04022886240874909,2,2.220446049250313e-16,1.0
2023-03-22,candidate_D_expected_volatility_penalty,0.024621260478924586,2,5.551115123125783e-16,0.6666666666666666
2023-03-29,candidate_D_expected_volatility_penalty,0.013774527721143045,2,3.3306690738754696e-16,1.0
2023-04-05,candidate_D_expected_volatility_penalty,0.018600327555861995,2,2.220446049250313e-16,0.6666666666666666
2023-04-13,candidate_D_expected_volatility_penalty,0.024974830073527146,2,2.220446049250313e-16,1.0
2023-04-20,candidate_D_expected_volatility_penalty,-0.007562992658185049,2,2.220446049250313e-16,1.0
2023-04-27,candidate_D_expected_volatility_penalty,0.0176937262132671,2,1.1102230246251565e-16,1.0
2023-05-04,candidate_D_expected_volatility_penalty,0.004477183091601398,2,0.6000000000000002,1.0
2023-05-11,candidate_D_expected_volatility_penalty,0.0022385238277185995,2,1.1102230246251565e-16,1.0
2023-05-18,candidate_D_expected_volatility_penalty,-0.0014116084466987498,2,2.220446049250313e-16,0.0
2023-05-25,candidate_D_expected_volatility_penalty,0.0853333844989559,2,4.440892098500626e-16,1.0
2023-06-02,candidate_D_expected_volatility_penalty,-0.008482208396998998,2,2.220446049250313e-16,0.6666666666666666
2023-06-09,candidate_D_expected_volatility_penalty,0.03382912417544844,2,2.220446049250313e-16,0.6666666666666666
2023-06-16,candidate_D_expected_volatility_penalty,0.017283836740919642,2,3.3306690738754696e-16,0.0
2023-06-26,candidate_D_expected_volatility_penalty,0.005688531094182148,2,5.551115123125783e-16,0.6666666666666666
2023-07-03,candidate_D_expected_volatility_penalty,0.0036213704834400988,2,4.440892098500626e-16,0.6666666666666666
2023-07-11,candidate_D_expected_volatility_penalty,0.0018758915536315984,2,4.440892098500626e-16,0.6666666666666666
2023-07-18,candidate_D_expected_volatility_penalty,-0.010332634078823946,2,2.220446049250313e-16,1.0
2023-07-25,candidate_D_expected_volatility_penalty,0.0014940524611197995,2,3.3306690738754696e-16,1.0
2023-08-01,candidate_D_expected_volatility_penalty,-0.031156918794677843,2,1.1102230246251565e-16,1.0
2023-08-08,candidate_D_expected_volatility_penalty,-0.0027974629854113494,2,2.220446049250313e-16,0.0
2023-08-15,candidate_D_expected_volatility_penalty,-0.003574834119589149,2,2.220446049250313e-16,1.0
2023-08-22,candidate_D_expected_volatility_penalty,0.002800237845256317,2,0.6000000000000004,0.6666666666666666
2023-08-29,candidate_D_expected_volatility_penalty,0.008098844418925548,2,1.1102230246251565e-16,0.6666666666666666
2023-09-06,candidate_D_expected_volatility_penalty,-0.017474301806101197,2,1.1102230246251565e-16,1.0
2023-09-13,candidate_D_expected_volatility_penalty,0.011813136704678245,2,4.440892098500626e-16,1.0
2023-09-20,candidate_D_expected_volatility_penalty,-0.016999931333623392,2,4.440892098500626e-16,0.6666666666666666
2023-09-27,candidate_D_expected_volatility_penalty,0.009042802943140651,2,0.6000000000000004,0.6666666666666666
2023-10-04,candidate_D_expected_volatility_penalty,0.004793676615114999,2,4.440892098500626e-16,0.6666666666666666
2023-10-11,candidate_D_expected_volatility_penalty,-0.0033514763069530493,2,2.220446049250313e-16,0.6666666666666666
2023-10-18,candidate_D_expected_volatility_penalty,-0.0012676303961511996,2,4.440892098500626e-16,0.6666666666666666
2023-10-25,candidate_D_expected_volatility_penalty,-0.016780597072022202,2,0.0,0.6666666666666666
2023-11-01,candidate_D_expected_volatility_penalty,0.027181206333382092,2,4.440892098500626e-16,0.6666666666666666
2023-11-08,candidate_D_expected_volatility_penalty,-0.005173050050082499,2,1.1102230246251565e-16,0.6666666666666666
2023-11-15,candidate_D_expected_volatility_penalty,0.004948973246558248,2,2.220446049250313e-16,1.0
2023-11-22,candidate_D_expected_volatility_penalty,0.002504089280573549,2,4.440892098500626e-16,1.0
2023-11-30,candidate_D_expected_volatility_penalty,-0.02458535402904754,2,4.440892098500626e-16,0.6666666666666666
2023-12-07,candidate_D_expected_volatility_penalty,0.019254807299321445,2,2.220446049250313e-16,0.6666666666666666
2023-12-14,candidate_D_expected_volatility_penalty,0.011038841474331946,2,4.440892098500626e-16,0.0
2023-12-21,candidate_D_expected_volatility_penalty,0.0024857444815748497,2,4.440892098500626e-16,0.6666666666666666
2023-12-29,candidate_D_expected_volatility_penalty,-0.038205655614564835,2,3.3306690738754696e-16,0.6666666666666666
2024-01-08,candidate_D_expected_volatility_penalty,0.014683424614674848,2,2.220446049250313e-16,1.0
2024-01-16,candidate_D_expected_volatility_penalty,-0.013538509677801392,2,4.440892098500626e-16,1.0
2024-01-23,candidate_D_expected_volatility_penalty,0.010692676806021694,2,4.440892098500626e-16,0.6666666666666666
2024-01-30,candidate_D_expected_volatility_penalty,-0.008813140461593249,2,3.3306690738754696e-16,0.6666666666666666
2024-02-06,candidate_D_expected_volatility_penalty,0.03009974089016635,2,0.0,0.6666666666666666
2024-02-13,candidate_D_expected_volatility_penalty,0.02658436147853519,2,2.220446049250313e-16,0.0
2024-02-21,candidate_D_expected_volatility_penalty,0.04403031023477183,2,4.440892098500626e-16,0.6666666666666666
2024-02-28,candidate_D_expected_volatility_penalty,0.016638766553262397,2,1.1102230246251565e-16,0.0
2024-03-06,candidate_D_expected_volatility_penalty,0.030359080116346745,2,2.220446049250313e-16,1.0
2024-03-13,candidate_D_expected_volatility_penalty,-0.021478754507586392,2,4.440892098500626e-16,0.6666666666666666
2024-03-20,candidate_D_expected_volatility_penalty,0.009137780642363397,2,2.220446049250313e-16,0.0
2024-03-27,candidate_D_expected_volatility_penalty,0.004346983796264348,2,4.440892098500626e-16,1.0
2024-04-04,candidate_D_expected_volatility_penalty,0.022831820816056735,2,5.551115123125783e-16,1.0
2024-04-11,candidate_D_expected_volatility_penalty,-0.0188985447706393,2,0.0,0.6666666666666666
2024-04-18,candidate_D_expected_volatility_penalty,-0.0007799127616702996,2,0.6000000000000002,0.6666666666666666
2024-04-25,candidate_D_expected_volatility_penalty,0.0005144973190782999,2,2.220446049250313e-16,1.0
2024-05-02,candidate_D_expected_volatility_penalty,0.0316538340329922,2,0.0,1.0
2024-05-09,candidate_D_expected_volatility_penalty,0.0005498999339326998,2,4.440892098500626e-16,0.6666666666666666
2024-05-16,candidate_D_expected_volatility_penalty,0.0032538105617811487,2,4.440892098500626e-16,1.0
2024-05-23,candidate_D_expected_volatility_penalty,0.034173852457557295,2,2.220446049250313e-16,0.6666666666666666
2024-05-31,candidate_D_expected_volatility_penalty,0.027872626427587647,2,1.1102230246251565e-16,0.6666666666666666
2024-06-07,candidate_D_expected_volatility_penalty,0.005362749349210848,2,3.3306690738754696e-16,0.0
2024-06-14,candidate_D_expected_volatility_penalty,0.002712686521383049,2,2.220446049250313e-16,0.6666666666666666
2024-06-24,candidate_D_expected_volatility_penalty,0.03744546061123104,2,3.3306690738754696e-16,0.6666666666666666
2024-07-01,candidate_D_expected_volatility_penalty,0.014994851733022101,2,0.0,1.0
2024-07-09,candidate_D_expected_volatility_penalty,0.00047405214378079996,2,3.3306690738754696e-16,0.6666666666666666
2024-07-16,candidate_D_expected_volatility_penalty,-0.028355812515889648,2,0.0,0.6666666666666666
2024-07-23,candidate_D_expected_volatility_penalty,-0.02966621153609342,2,0.6000000000000003,0.6666666666666666
2024-07-30,candidate_D_expected_volatility_penalty,0.0023664625116415587,2,0.6000000000000002,0.6666666666666666
2024-08-06,candidate_D_expected_volatility_penalty,-0.0009843469668383196,2,0.6000000000000001,0.6666666666666666
2024-08-13,candidate_D_expected_volatility_penalty,-0.0029037525054072992,2,2.220446049250313e-16,0.6666666666666666
2024-08-20,candidate_D_expected_volatility_penalty,0.004697014444347599,2,2.220446049250313e-16,0.6666666666666666
2024-08-27,candidate_D_expected_volatility_penalty,-0.015480395544883141,2,4.440892098500626e-16,1.0
2024-09-04,candidate_D_expected_volatility_penalty,-0.012691681837954298,2,1.1102230246251565e-16,1.0
2024-09-11,candidate_D_expected_volatility_penalty,0.013214782374583546,2,2.220446049250313e-16,1.0
2024-09-18,candidate_D_expected_volatility_penalty,0.02488512029280924,2,4.440892098500626e-16,1.0
2024-09-25,candidate_D_expected_volatility_penalty,0.005655835200078798,2,4.440892098500626e-16,1.0
2024-10-02,candidate_D_expected_volatility_penalty,0.013952905966496093,2,4.440892098500626e-16,1.0
2024-10-09,candidate_D_expected_volatility_penalty,-0.020887375688614235,2,6.661338147750939e-16,0.6666666666666666
2024-10-16,candidate_D_expected_volatility_penalty,0.008155136430705494,2,4.440892098500626e-16,0.6666666666666666
2024-10-23,candidate_D_expected_volatility_penalty,-0.0049694358211764475,2,4.440892098500626e-16,0.0
2024-10-30,candidate_D_expected_volatility_penalty,-0.016976496276119545,2,4.440892098500626e-16,0.6666666666666666
2024-11-06,candidate_D_expected_volatility_penalty,0.029403150216751838,2,3.3306690738754696e-16,1.0
2024-11-13,candidate_D_expected_volatility_penalty,-0.009333739864712646,2,4.440892098500626e-16,1.0
2024-11-20,candidate_D_expected_volatility_penalty,0.0117461320792968,2,0.0,1.0
2024-11-27,candidate_D_expected_volatility_penalty,0.0047289173958625155,2,0.6000000000000003,0.6666666666666666
2024-12-05,candidate_D_expected_volatility_penalty,0.032029190360313785,2,4.440892098500626e-16,0.6666666666666666
2024-12-12,candidate_D_expected_volatility_penalty,0.003527048791338198,2,3.3306690738754696e-16,0.6666666666666666
2024-12-19,candidate_D_expected_volatility_penalty,-0.007913318294122947,2,1.1102230246251565e-16,1.0
2024-12-27,candidate_D_expected_volatility_penalty,-0.015927159758062543,2,4.440892098500626e-16,1.0
2025-01-06,candidate_D_expected_volatility_penalty,-0.005102502903129098,2,2.220446049250313e-16,0.0
2025-01-14,candidate_D_expected_volatility_penalty,0.010761041321039447,2,2.220446049250313e-16,0.6666666666666666
2025-01-22,candidate_D_expected_volatility_penalty,0.0035601943945483493,2,1.1102230246251565e-16,0.6666666666666666
2025-01-29,candidate_D_expected_volatility_penalty,0.005258180077787449,2,3.3306690738754696e-16,1.0
2025-02-05,candidate_D_expected_volatility_penalty,0.006148160114526848,2,4.440892098500626e-16,0.6666666666666666
2025-02-12,candidate_D_expected_volatility_penalty,0.007703061057805098,2,1.1102230246251565e-16,0.6666666666666666
2025-02-20,candidate_D_expected_volatility_penalty,-0.011486143356550533,2,0.6000000000000003,1.0
2025-02-27,candidate_D_expected_volatility_penalty,0.02224452666874295,2,0.0,1.0
2025-03-06,candidate_D_expected_volatility_penalty,-0.03875993782968043,2,4.440892098500626e-16,0.0
2025-03-13,candidate_D_expected_volatility_penalty,0.00920632258350186,2,0.6,0.6666666666666666
2025-03-20,candidate_D_expected_volatility_penalty,0.0017025491692995,2,2.220446049250313e-16,0.6666666666666666
2025-03-27,candidate_D_expected_volatility_penalty,-0.016110429168986185,2,0.6000000000000003,0.6666666666666666
2025-04-03,candidate_D_expected_volatility_penalty,-0.023809470188300583,2,0.6,0.6666666666666666
2025-04-10,candidate_D_expected_volatility_penalty,-0.0008119466085211999,2,0.6000000000000001,0.0
2025-04-17,candidate_D_expected_volatility_penalty,-0.004328137289115217,2,0.6000000000000003,0.0
2025-04-25,candidate_D_expected_volatility_penalty,0.0018893119912453391,2,0.6000000000000001,0.0
2025-05-02,candidate_D_expected_volatility_penalty,-0.008675115751273948,2,4.440892098500626e-16,0.6666666666666666
2025-05-09,candidate_D_expected_volatility_penalty,0.016238671786266496,2,2.220446049250313e-16,0.6666666666666666
2025-05-16,candidate_D_expected_volatility_penalty,0.005109240858848426,2,4.440892098500626e-16,0.6666666666666666
2025-05-23,candidate_D_expected_volatility_penalty,0.03484681189230789,2,2.220446049250313e-16,1.0
2025-06-02,candidate_D_expected_volatility_penalty,0.02925546662126039,2,2.220446049250313e-16,0.6666666666666666
2025-06-09,candidate_D_expected_volatility_penalty,-0.015285502401122445,2,4.440892098500626e-16,0.6666666666666666
2025-06-16,candidate_D_expected_volatility_penalty,-0.0016662903740744793,2,0.6000000000000002,0.6666666666666666
2025-06-24,candidate_D_expected_volatility_penalty,-0.0031194334299899183,2,0.6000000000000002,0.6666666666666666
2025-07-01,candidate_D_expected_volatility_penalty,-0.0037600453225770493,2,2.220446049250313e-16,0.6666666666666666
2025-07-09,candidate_D_expected_volatility_penalty,0.011300903961187147,2,3.3306690738754696e-16,1.0
2025-07-16,candidate_D_expected_volatility_penalty,0.005786546284107148,2,3.3306690738754696e-16,0.6666666666666666
2025-07-23,candidate_D_expected_volatility_penalty,0.015887901763129646,2,2.220446049250313e-16,0.6666666666666666
2025-07-30,candidate_D_expected_volatility_penalty,-0.020692528844887394,2,2.220446049250313e-16,0.6666666666666666
2025-08-06,candidate_D_expected_volatility_penalty,-0.004842775046544498,2,4.440892098500626e-16,0.6666666666666666
2025-08-13,candidate_D_expected_volatility_penalty,-0.010586471531464149,2,2.220446049250313e-16,1.0
2025-08-20,candidate_D_expected_volatility_penalty,-0.008260727064685548,2,4.440892098500626e-16,0.6666666666666666
2025-08-27,candidate_D_expected_volatility_penalty,-0.0001347866296530502,2,2.220446049250313e-16,1.0
2025-09-04,candidate_D_expected_volatility_penalty,0.009776270857448997,2,2.220446049250313e-16,1.0
2025-09-11,candidate_D_expected_volatility_penalty,0.0011002840199559388,2,0.6000000000000004,0.0
2025-09-18,candidate_D_expected_volatility_penalty,0.0019149965715532496,2,3.3306690738754696e-16,0.6666666666666666
2025-09-25,candidate_D_expected_volatility_penalty,0.03303401270831079,2,1.1102230246251565e-16,1.0
2025-10-02,candidate_D_expected_volatility_penalty,-0.01985181817951069,2,2.220446049250313e-16,0.0
2025-10-09,candidate_D_expected_volatility_penalty,-0.04240605636865559,2,2.220446049250313e-16,0.0
2025-10-16,candidate_D_expected_volatility_penalty,-0.009149028030556249,2,3.3306690738754696e-16,0.6666666666666666
2025-10-23,candidate_D_expected_volatility_penalty,0.015889142470980704,2,0.6000000000000004,0.6666666666666666
2025-10-30,candidate_D_expected_volatility_penalty,0.0019962278816340997,2,2.220446049250313e-16,0.6666666666666666
2025-11-06,candidate_D_expected_volatility_penalty,-0.013954829506123043,2,4.440892098500626e-16,0.6666666666666666
2025-11-13,candidate_D_expected_volatility_penalty,0.00012927161303439888,2,1.1102230246251565e-16,0.6666666666666666
2025-11-20,candidate_D_expected_volatility_penalty,-0.013930113042090533,2,0.6000000000000002,1.0
2025-11-28,candidate_D_expected_volatility_penalty,-0.005643866835712595,2,0.6000000000000003,1.0
2025-12-05,candidate_D_expected_volatility_penalty,-0.013252357382246194,2,2.220446049250313e-16,0.6666666666666666
2025-12-12,candidate_D_expected_volatility_penalty,-0.0034331748297125493,2,2.220446049250313e-16,1.0
2025-12-19,candidate_D_expected_volatility_penalty,0.010170635393198995,2,6.661338147750939e-16,0.6666666666666666
2025-12-29,candidate_D_expected_volatility_penalty,-0.009178566670697849,2,2.220446049250313e-16,1.0
2026-01-06,candidate_D_expected_volatility_penalty,0.00571688078156675,2,2.220446049250313e-16,1.0
2026-01-13,candidate_D_expected_volatility_penalty,-0.0050807739927303,2,2.220446049250313e-16,0.0
2026-01-21,candidate_D_expected_volatility_penalty,-0.005327624436296894,2,0.6000000000000004,0.6666666666666666
2026-01-28,candidate_D_expected_volatility_penalty,0.005249033801026898,2,3.3306690738754696e-16,0.6666666666666666
2026-02-04,candidate_D_expected_volatility_penalty,0.006439408261340899,2,2.220446049250313e-16,1.0
